Dan,1980.211444,1784.45858,2079.71375,1,5,1,1 | 1980.2,1 | 2001.4,1 | 1946.9,1 | 1996.1,1 | 1996.1,1 | 2050.4
Alex,1725.299352,1936.725072,1458.291096,2,2,11,2 | 1725.3,2 | 1754.4,2 | 1764.0,2 | 1775.5,2 | 1775.5,2 | 1764.3
Reynolds,1699.937257,2101.120562,1261.849747,3,1,26,3 | 1699.9,3 | 1710.4,3 | 1725.8,3 | 1736.1,3 | 1736.1,3 | 1704.6
JonJ,1669.593199,1829.924341,1468.32276,4,4,9,4 | 1669.6,8 | 1578.9,7 | 1573.8,6 | 1606.1,6 | 1606.1,7 | 1610.4
Jacques,1664.600834,1422.600349,1715.841494,5,12,4,5 | 1664.6,4 | 1649.3,6 | 1599.4,7 | 1604.2,7 | 1604.2,9 | 1551.4
Jason,1644.977484,1854.983248,1394.84595,6,3,16,6 | 1645.0,6 | 1644.0,5 | 1655.0,4 | 1662.0,4 | 1662.0,4 | 1641.8
Brian,1643.295025,1224.580076,1937.411863,7,26,2,7 | 1643.3,5 | 1646.2,4 | 1663.9,5 | 1657.2,5 | 1657.2,5 | 1638.9
JohnH,1607.527692,1322.369516,1822.579187,8,24,3,8 | 1607.5,10 | 1541.6,8 | 1571.3,8 | 1601.9,8 | 1601.9,6 | 1623.9
Joanna,1572.205477,1603.149579,1548.130579,9,6,6,9 | 1572.2,9 | 1561.2,10 | 1557.0,10 | 1525.3,10 | 1525.3,8 | 1598.0
Chris,1552.790981,1456.848624,1630.983748,10,9,5,10 | 1552.8,7 | 1580.2,9 | 1568.5,9 | 1569.9,9 | 1569.9,10 | 1543.6
Ajith,1480.20312,1419.689565,1515.544985,11,13,7,11 | 1480.2,NR | 1428.0,12 | 1439.7,12 | 1436.6,12 | 1436.6,12 | 1444.4
Trevor,1472.305227,1484.507171,1375.092756,12,7,24,12 | 1472.3,11 | 1451.9,NR | 1430.5,NR | 1417.6,NR | 1417.6,NR | 1396.1
Zach,1458.234535,1474.646201,1462.120421,13,8,10,NR | 1458.2,12 | 1449.6,11 | 1467.5,11 | 1485.0,11 | 1485.0,11 | 1499.3
KevinL,1387.82648,1377.581063,1378.816787,15,20,23,NR | 1387.8,NR | 1381.5,NR | 1383.5,NR | 1393.2,NR | 1393.2,NR | 1394.3
Lisa,1387.78488,1393.310187,1392.606383,16,15,17,NR | 1387.8,NR | 1381.6,NR | 1383.5,NR | 1393.2,NR | 1393.2,NR | 1394.3
Kwang,1387.776326,1432.372283,1399.059325,17,11,15,NR | 1387.8,NR | 1381.6,NR | 1383.6,NR | 1392.7,NR | 1392.7,NR | 1392.6
Jayanth,1385.330856,1393.023797,1410.030518,18,16,14,NR | 1385.3,NR | 1376.6,NR | 1378.0,NR | 1385.9,NR | 1385.9,NR | 1385.8
DanielG,1385.175186,1383.991774,1381.232884,19,18,21,NR | 1385.2,NR | 1376.5,NA,NA,NA,NA
Ryan,1378.742594,1374.399099,1380.948443,20,21,22,NR | 1378.7,NA,NA,NA,NA,NA
Kevin,1375.955221,1373.76942,1382.989385,21,22,20,NR | 1376.0,NA,NA,NA,NA,NA
Raihan,1370.682493,1418.975904,1387.556848,22,14,18,NR | 1370.7,NR | 1376.3,NR | 1383.9,NR | 1387.5,NR | 1387.5,NR | 1387.4
Sneha,1365.874125,1453.225014,1366.872454,23,10,25,NR | 1365.9,NR | 1357.2,NR | 1358.5,NR | 1358.6,NR | 1358.6,NR | 1368.5
KevinG,1363.150363,1385.336145,1448.970775,24,17,12,NR | 1363.2,NR | 1354.5,NR | 1355.8,NR | 1363.7,NR | 1363.7,NR | 1363.7
Bing,1361.326874,1332.396422,1500.930162,25,23,8,NR | 1361.3,NR | 1352.6,NR | 1355.7,NR | 1341.2,NR | 1341.2,NR | 1341.1
Melisa,1283.515981,1321.130603,1439.633485,26,25,13,NR | 1283.5,NR | 1274.8,NR | 1276.1,NR | 1308.3,NR | 1308.3,NR | 1318.5
