Dan,1973.12092078,1689.18503637,1889.9519525,1,4,1,1 | 1955.1,1 | 1940.5,1 | 1889.0,1 | 1915.0,1 | 1862.2,1 | 1838.7
Alex,1739.03820907,1773.9593485,1507.0078785,2,2,8,2 | 1728.3,2 | 1722.6,2 | 1744.4,2 | 1697.0,2 | 1724.7,2 | 1753.4
Reyn,1634.55280529,1850.3171465,1320.6192075,3,1,25,3 | 1622.8,3 | 1595.7,3 | 1610.8,3 | 1636.7,3 | 1618.4,4 | 1604.1
Jacque,1591.74288606,1441.8936215,1631.0177615,4,11,4,4 | 1579.5,5 | 1585.9,4 | 1598.5,8 | 1522.7,7 | 1524.6,7 | 1539.7
JohnH,1589.3105622,1375.2232315,1712.4460995,5,24,2,5 | 1577.1,4 | 1587.1,5 | 1584.3,4 | 1582.5,4 | 1605.3,3 | 1605.1
Jason,1580.47470319,1713.6869385,1392.24732137,6,3,24,6 | 1559.0,6 | 1574.0,8 | 1535.3,5 | 1566.5,6 | 1533.4,6 | 1544.6
Brian,1557.6067246,1354.5521585,1680.8776315,7,25,3,7 | 1545.0,10 | 1508.2,10 | 1494.2,7 | 1525.8,9 | 1515.5,NR | 1490.4
JonJ,1541.47700732,1638.7491255,1411.2617255,8,5,19,8 | 1528.8,8 | 1539.1,7 | 1541.0,9 | 1513.9,8 | 1518.1,8 | 1536.0
Joanna,1525.85929729,1488.3292875,1565.4984645,9,8,5,9 | 1513.0,7 | 1542.5,6 | 1544.0,6 | 1556.7,5 | 1548.7,5 | 1547.4
Def,1510.36328168,1408.56722993,1502.79673434,10,21,9,NA,NA,NA,NA,NA,NA
Abc,1510.36328168,1502.79673434,1408.56722993,11,6,21,NA,NA,NA,NA,NA,NA
Zach,1503.46845166,1496.5748065,1472.8114785,12,7,10,10 | 1490.4,9 | 1510.7,9 | 1515.3,NR | 1497.0,NR | 1465.0,NR | 1447.7
Ajith,1487.89181345,1451.3174045,1532.8330905,13,10,6,11 | 1474.6,11 | 1483.5,11 | 1483.9,NR | 1480.6,NR | 1483.9,10 | 1491.7
Chris,1481.80686739,1440.8308935,1522.2404165,14,12,7,12 | 1468.5,12 | 1477.2,12 | 1468.2,10 | 1506.3,10 | 1507.8,9 | 1525.4
Jaynth,1424.19749546,1422.7335195,1431.1355595,15,16,15,NR | 1410.3,NR | 1416.8,NR | 1414.9,NR | 1421.8,NR | 1420.3,NR | 1425.9
Lisa,1424.13739144,1430.9604035,1421.9018555,16,15,18,NR | 1410.3,NR | 1416.8,NR | 1414.8,NR | 1421.8,NR | 1420.3,NR | 1426.0
Sneha,1424.11839515,1440.1418635,1426.7984765,17,14,17,NR | 1410.2,NR | 1416.7,NR | 1414.8,NR | 1421.8,NR | 1420.4,NR | 1425.9
KevinG,1417.50883399,1418.1085025,1434.1696355,18,17,14,NR | 1402.4,NR | 1406.8,NR | 1414.7,NR | 1421.8,NR | 1419.3,NR | 1423.3
KevinL,1415.67542499,1408.9780345,1462.3640575,19,20,12,NR | 1400.6,NR | 1404.9,NR | 1401.2,NR | 1405.8,NR | 1406.6,NR | 1410.5
Kwang,1414.46951099,1440.2590805,1429.5195855,20,13,16,NR | 1399.3,NR | 1426.8,NR | 1413.8,NR | 1417.1,NR | 1420.4,NR | 1430.1
Bing,1402.73430399,1403.0788055,1465.1531965,21,23,11,NR | 1387.6,NR | 1396.6,NR | 1392.8,NR | 1397.4,NR | 1382.2,NR | 1424.1
Raihan,1397.99473399,1414.5757825,1410.9842505,22,18,20,NR | 1382.9,NR | 1388.7,NR | 1389.5,NR | 1403.1,NR | 1400.0,NR | 1411.0
Melisa,1389.29175849,1412.9789065,1438.03354461,23,19,13,NR | 1381.2,NR | 1383.4,NR | 1379.6,NR | 1385.4,NR | 1388.0,NR | 1392.0
Trevor,1381.29499249,1475.67193861,1399.8884365,24,9,23,NR | 1373.2,NR | 1364.9,NR | 1355.1,NR | 1395.1,NR | 1415.0,NR | 1388.5
Ghi,1340.75017371,1314.33772551,1408.56722993,25,26,22,NA,NA,NA,NA,NA,NA
Jkl,1340.75017371,1408.56722993,1314.33772551,26,22,26,NA,NA,NA,NA,NA,NA
